Id,Nome_prices,Squadra_prices,R_prices,Qt.A,Qt.I,Diff.,FVM,Pv,Mv,Fm,Gf,Gs,Rp,Rc,Ass,Amm,Esp,sofa_goals,sofa_assists,sofa_appearances,sofa_minutes_played,sofa_rating,sofa_expected_goals,sofa_expected_assists,sofa_shots_on_target,sofa_total_shots,sofa_successful_dribbles,sofa_accurate_crosses,sofa_pass_accuracy,sofa_tackles,sofa_interceptions,sofa_yellow_cards,sofa_red_cards,sofa_match_score,sofa_match_type
22,De Roon,Atalanta,C,12,12,0,33,36.0,6.15,6.53,4.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,1.0,37.0,2888.0,7.16,4.0729,4.82895051,12.0,39.0,23.0,10.0,87.21532091097308,52.0,35.0,4.0,1.0,0.8469999999999999,fuzzy_match
5119,Samardzic,Atalanta,C,12,12,0,31,28.0,6.09,6.25,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,31.0,1149.0,6.94,2.0516,4.0384593,13.0,33.0,27.0,15.0,83.5725677830941,21.0,2.0,3.0,0.0,0.7559999999999999,fuzzy_match
5036,Caqueret,Como,C,12,12,0,19,16.0,6.34,6.78,2.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,3.0,18.0,1097.0,6.91,0.8342,1.0756323,3.0,8.0,14.0,2.0,85.58394160583941,36.0,7.0,4.0,0.0,0.819,fuzzy_match
5559,Da Cunha,Como,C,12,12,0,33,35.0,6.1,6.36,3.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,2.0,36.0,2625.0,7.13,2.004,4.65386544,14.0,37.0,12.0,35.0,87.86926461345065,45.0,17.0,4.0,0.0,0.861,fuzzy_match
7133,Vandeputte,Cremonese,C,12,12,0,36,,,,,,,,,,,0.0,0.0,1.0,56.0,6.5,0.0,0.033471,0.0,0.0,0.0,2.0,72.72727272727273,1.0,0.0,0.0,0.0,0.9099999999999999,fuzzy_match
6722,Gronbaek,Genoa,C,12,12,0,36,,,,,,,,,,,0.0,0.0,1.0,60.0,7.0,0.0,0.0799859,0.0,0.0,2.0,0.0,75.0,0.0,0.0,0.0,0.0,0.6649999999999999,fuzzy_match
827,Locatelli,Juventus,C,12,12,0,50,35.0,6.19,6.26,2.0,0.0,0.0,1.0,1.0,9.0,0.0,2.0,2.0,36.0,2840.0,7.25,1.8455,2.72919974,9.0,25.0,8.0,6.0,88.74476987447699,72.0,23.0,9.0,0.0,0.854,fuzzy_match
4892,Saelemaekers,Milan,C,12,12,0,35,22.0,6.39,7.36,7.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,90.0,7.5,0.0,0.293165,0.0,0.0,0.0,4.0,91.66666666666666,1.0,1.0,1.0,0.0,0.8889999999999999,fuzzy_match
2606,Modric,Milan,C,12,12,0,40,,,,,,,,,,,0.0,0.0,1.0,74.0,7.5,0.0572,0.144339,1.0,2.0,0.0,2.0,90.78947368421053,1.0,1.0,0.0,0.0,0.763,fuzzy_match
5319,Sohm,Fiorentina,C,12,12,0,34,37.0,6.03,6.26,4.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,
5318,Tramoni M.,Pisa,C,12,12,0,42,,,,,,,,,,,0.0,0.0,1.0,61.0,6.6,0.0337,0.0686277,1.0,1.0,0.0,1.0,91.66666666666666,0.0,0.0,0.0,0.0,0.6559999999999999,fuzzy_match
5888,Casadei,Torino,C,12,12,0,30,15.0,6.03,6.27,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,15.0,1023.0,6.93,1.1685,0.40000876,7.0,14.0,7.0,1.0,79.70297029702971,12.0,5.0,1.0,0.0,0.819,fuzzy_match
788,Freuler,Bologna,C,11,11,0,23,37.0,6.19,6.22,1.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,2.0,37.0,3214.0,6.96,1.2665,1.59962431,4.0,17.0,5.0,5.0,88.53838065194533,79.0,38.0,6.0,0.0,0.868,fuzzy_match
5858,Ferguson,Bologna,C,11,11,0,23,14.0,6.11,6.39,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,16.0,985.0,6.95,0.9578,0.76948125,2.0,6.0,5.0,2.0,88.88888888888889,24.0,5.0,0.0,0.0,0.861,fuzzy_match
6010,Fazzini,Fiorentina,C,11,11,0,22,20.0,6.42,6.98,4.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,6.0,26.0,1276.0,7.05,1.0342,2.2495682,5.0,14.0,12.0,14.0,85.66176470588235,32.0,6.0,2.0,1.0,0.658,fuzzy_match
6106,Carboni V.,Genoa,C,11,11,0,29,,,,,,,,,,,0.0,0.0,1.0,73.0,7.3,0.1268,0.00530144,1.0,1.0,2.0,0.0,61.111111111111114,2.0,0.0,0.0,0.0,0.728,fuzzy_match
4186,Guendouzi,Lazio,C,11,11,0,23,37.0,6.04,6.07,1.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,3.0,37.0,3274.0,7.07,1.3405,2.78358982,9.0,27.0,15.0,5.0,90.59708509637989,37.0,32.0,8.0,0.0,0.854,fuzzy_match
6629,Dele-Bashiru,Lazio,C,11,11,0,31,17.0,6.06,6.65,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,20.0,953.0,6.76,1.0856,0.77566407,5.0,16.0,14.0,1.0,89.45868945868945,10.0,4.0,0.0,0.0,0.8889999999999999,fuzzy_match
4686,Fofana Y.,Milan,C,11,11,0,34,34.0,6.03,6.22,1.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,6.0,35.0,2509.0,6.89,1.3211,2.63185681,5.0,36.0,14.0,2.0,86.33496846531185,56.0,19.0,5.0,0.0,0.7,fuzzy_match
6666,Bernabè,Parma,C,11,11,0,36,19.0,6.29,6.47,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,21.0,1461.0,7.12,1.3457,1.51035705,5.0,27.0,15.0,6.0,85.69926393270242,29.0,7.0,1.0,0.0,0.749,fuzzy_match
530,Pellegrini Lo.,Roma,C,11,11,0,20,25.0,5.68,5.88,2.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,25.0,1632.0,6.86,4.8609,2.69380684,14.0,42.0,11.0,15.0,83.92554991539764,24.0,6.0,4.0,0.0,0.7839999999999999,fuzzy_match
2839,Sottil,Lecce,C,11,11,0,22,21.0,5.95,6.12,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,
6206,Fabbian,Bologna,C,10,10,0,17,22.0,6.09,6.48,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,30.0,1023.0,6.57,2.3445,0.55829238,5.0,21.0,2.0,1.0,75.38461538461539,10.0,2.0,2.0,0.0,0.777,fuzzy_match
449,Vazquez,Cremonese,C,10,10,0,25,,,,,,,,,,,0.0,0.0,1.0,56.0,6.5,0.0,0.033471,0.0,0.0,0.0,2.0,72.72727272727273,1.0,0.0,0.0,0.0,0.602,fuzzy_match
4973,McKennie,Juventus,C,10,10,0,14,31.0,5.94,6.18,2.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,4.0,32.0,2320.0,6.96,2.7777,3.48168152,8.0,22.0,20.0,3.0,85.0597609561753,33.0,14.0,3.0,0.0,0.84,fuzzy_match
6549,Pierotti,Lecce,C,10,10,0,20,35.0,5.81,6.1,4.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,2.0,36.0,1947.0,6.71,3.0734,1.4029484,7.0,32.0,22.0,5.0,73.2843137254902,46.0,14.0,5.0,1.0,0.698,fuzzy_match
5453,Ricci S.,Milan,C,10,10,0,25,34.0,6.06,6.03,1.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,6.0,122.0,6.75,0.1741,0.46797538,0.0,2.0,1.0,2.0,86.36363636363636,1.0,0.0,0.0,0.0,0.714,fuzzy_match
6889,Anjorin,Torino,C,10,10,0,23,22.0,6.3,6.64,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,20.0,659.0,6.62,0.3867,0.70802025,3.0,7.0,4.0,2.0,87.93103448275862,5.0,10.0,3.0,0.0,0.63,fuzzy_match
6684,Ekkelenkamp,Udinese,C,10,10,0,21,33.0,5.97,6.27,3.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,34.0,1902.0,6.77,2.7945,1.23702042,9.0,27.0,10.0,4.0,81.02643856920683,36.0,12.0,2.0,0.0,0.8819999999999999,fuzzy_match
2077,Pasalic,Atalanta,C,9,9,0,28,33.0,5.91,6.14,3.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,4.0,34.0,1969.0,6.96,6.6299,2.22356093,12.0,46.0,5.0,3.0,88.21349147516679,26.0,12.0,1.0,0.0,0.7,fuzzy_match
4896,Maldini,Atalanta,C,9,9,0,24,27.0,6.02,6.59,6.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,10.0,257.0,6.84,1.8942,0.31900041,5.0,10.0,6.0,0.0,66.30434782608695,2.0,2.0,0.0,0.0,0.719,fuzzy_match
184,Bernardeschi,Bologna,C,9,9,0,22,,,,,,,,,,,0.0,0.0,1.0,11.0,6.6,0.1298,0.0167969,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.861,fuzzy_match
6252,Folorunsho,Cagliari,C,9,9,0,27,13.0,5.96,5.77,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,39.0,6.4,0.104,0.00795077,0.0,1.0,0.0,0.0,71.42857142857143,3.0,1.0,0.0,0.0,0.7044999999999999,fuzzy_match
7126,Baturina,Como,C,9,9,0,26,,,,,,,,,,,1.0,3.0,28.0,1667.0,6.92,1.7069,1.91851463,9.0,28.0,26.0,8.0,77.13717693836978,64.0,12.0,2.0,1.0,0.63,fuzzy_match
